idx,url
193,https://it.tdtu.edu.vn/tdtu-to-chuc-doi-thoai-sinh-vien-hoc-ky-2-nam-hoc-2024-2025
194,https://it.tdtu.edu.vn/day-manh-cac-hoat-dong-hop-tac-nghien-cuu-voi-cac-truong-dai-hoc-o-cong-hoa-sec
195,https://it.tdtu.edu.vn/thong-tin-tuyen-dung-cong-ty-ekino-vietnam-0
196,https://it.tdtu.edu.vn/cong-ty-phan-mem-viet-long-tuyen-dung-07-2017
197,https://it.tdtu.edu.vn/user/login?destination=/truong-dai-hoc-ton-duc-thang-phat-trien-hop-tac-giao-duc-voi-tinh-hau-giang%23comment-form
198,https://it.tdtu.edu.vn/thong-tin-cuoc-thi-me2we-2018
199,https://it.tdtu.edu.vn/cong-ty-cybozu-vietnam-tuyen-dung
200,https://it.tdtu.edu.vn/user/login?destination=/sv-khoa-cntt-dat-nhieu-danh-hieu-cao-trong-lan-dau-tham-gia-ky-thi-olympic-tin-hoc-sinh-vien-vn-va%23comment-form
201,https://it.tdtu.edu.vn/khoa-cntt-xet-duyet-de-tai-nghien-cuu-khoa-hoc-sinh-vien-nam-hoc-2023-2024
202,https://it.tdtu.edu.vn/tin-tuc/doan-hoi
203,https://it.tdtu.edu.vn/idtek-tuyen-dung
204,https://it.tdtu.edu.vn/tin-tuc/hop-tac-doanh-nghiep
205,https://it.tdtu.edu.vn/buoi-noi-chuyen-cua-gs-ryu-va-gs-do-phuc-ve-chu-de-data-science
206,https://it.tdtu.edu.vn/fujinet-tuyen-dung-thang-082021
207,https://it.tdtu.edu.vn/truong-dai-hoc-ton-duc-thang-ky-ket-thoa-thuan-hop-tac-voi-vien-pasteur-thanh-pho-ho-chi-minh
208,https://it.tdtu.edu.vn/techbase-viet-nam-thong-bao-thuc-tap-he-2022
209,https://it.tdtu.edu.vn/user/login?destination=/dai-hoc-ton-duc-thang-to-chuc-hoi-nghi-giao-ban-he-nam-hoc-2021-2022%23comment-form
210,https://it.tdtu.edu.vn/tin-tuc?page=34
211,https://it.tdtu.edu.vn/user/login?destination=/nop-do-12-va-do-ung-dung-hk22017-2018-0%23comment-form
212,https://it.tdtu.edu.vn/user/login?destination=/khoa-cntt-cung-doanh-nghiep-cuu-sinh-vien-gvvc-sv-dong-hanh-chia-se-voi-sv-gap-kho-khan-vi-dich%23comment-form
213,https://it.tdtu.edu.vn/thong-bao-thoi-gian-hien-mau-dot-thang-102017
214,https://it.tdtu.edu.vn/thong-bao-dang-ki-de-tai-do-1-2-va-ung-dung-hk12017-2018
215,https://it.tdtu.edu.vn/user/login?destination=/dai-hoc-ton-duc-thang-xep-thu-73-chau-a-theo-the-asia-university-rankings-2022%23comment-form
216,https://it.tdtu.edu.vn/ke-hoach-to-chuc-lop-on-tap-lop-vet-thang-42018
217,https://it.tdtu.edu.vn/user/login?destination=/truong-dai-hoc-ton-duc-thang-va-truong-dai-hoc-an-ninh-nhan-dan-ky-ghi-nho-hop-tac%23comment-form
218,https://it.tdtu.edu.vn/taxonomy/term/65?page=3
219,https://it.tdtu.edu.vn/user/login?destination=/truong-dai-hoc-an-ninh-nhan-dan-lam-viec-va-giao-luu-voi-dai-hoc-ton-duc-thang%23comment-form
220,https://it.tdtu.edu.vn/vus-co-nhu-cau-tuyen-dung-tro-giang-cho-chuong-trinh-toan-tu-duy-critical-math-cho-cac-chi-nhanh
221,https://it.tdtu.edu.vn/user/login?destination=/khai-truong-van-phong-du-an-quoc-te-tdtu-emlyon-cong-hoa-phap-tai-truong-dai-hoc-ton-duc-thang%23comment-form
222,https://it.tdtu.edu.vn/user/login?destination=/cong-ty-neotek-tuyen-dung-thuc-tap-sinh%23comment-form
223,https://it.tdtu.edu.vn/thong-tin-tuyen-dung-cua-phong-dien-toan-may-tinh-dai-hoc-ton-duc-thang
224,https://it.tdtu.edu.vn/thoi-gian-bao-cao-do-12ung-dung
225,https://it.tdtu.edu.vn/user/login?destination=/thong-tin-tuyen-dung-nissei-electric-vietnam%23comment-form
226,https://it.tdtu.edu.vn/user/login?destination=/dac-diem-nhan-dien-sinh-vien-dai-hoc-ton-duc-thang%23comment-form
227,https://it.tdtu.edu.vn/user/login?destination=/contemi-vietnam-internship-program%23comment-form
228,https://it.tdtu.edu.vn/ekino-vietnam-vi-tri-manual-tester-fresher-junior-co-hoi-nghe-nghiep-cho-sinh-vien
229,https://it.tdtu.edu.vn/user/login?destination=/dang-ki-mon-hoc-bo-sung-hk12019-2020-voi-k23%23comment-form
230,https://it.tdtu.edu.vn/khoa-cong-nghe-thong-tin-ky-ket-hop-tac-voi-cac-to-chuc-doanh-nghiep
231,https://it.tdtu.edu.vn/user/login?destination=/hoi-dong-truong-truong-dai-hoc-ton-duc-thang-to-chuc-ky-hop-lan-thu-20%23comment-form
232,https://it.tdtu.edu.vn/dang-ky-tham-du-le-tot-nghiep-to-chuc-ngay-1852023
233,https://it.tdtu.edu.vn/user/login?destination=/thong-bao-nhan-phu-luc-van-bang-tot-nghiep-dot-t22022-t42022-t62022-va-t92022%23comment-form
234,https://it.tdtu.edu.vn/user/login?destination=/fujinet-tuyen-dung-thang-072021%23comment-form
235,https://it.tdtu.edu.vn/iconclub/contact
236,https://it.tdtu.edu.vn/career-day-112023-cty-renesas-tuyen-dung
237,https://it.tdtu.edu.vn/user/login?destination=/thong-tin-tuyen-dung-cong-ty-venus-casino%23comment-form
